fid,cellcode,bati_mean,bati_media,morska_mea,morska_med,geometry
116,10kmE470N241,-44.97594844278401,-39.61722183227539,3.319453924914676,4,"list(c(363348.019, 364165.5238, 374116.9032, 373299.0006, 363348.019, 4951689.287, 4961670.9375, 4960819.0654, 4950838.0049, 4951689.287))"
117,10kmE470N242,-28.86448941341904,-72.22181701660156,3.795669072737368,4,"list(c(364165.5238, 364984.0172, 374935.7886, 374116.9032, 364165.5238, 4961670.9375, 4971652.0053, 4970799.5456, 4960819.0654, 4961670.9375))"
118,10kmE470N243,-61.377045772545415,-76.27816390991211,3.800190748688603,4,"list(c(364984.0172, 365803.4977, 375755.655, 374935.7886, 364984.0172, 4971652.0053, 4981632.4969, 4980779.452, 4970799.5456, 4971652.0053))"
119,10kmE470N244,-30.798951902430886,-61.349632263183594,3.713723284589426,4,"list(c(365803.4977, 366623.9635, 376576.501, 375755.655, 365803.4977, 4981632.4969, 4991612.4186, 4990758.791, 4980779.452, 4981632.4969))"
120,10kmE470N245,64.7773470246647,63.222225189208984,3.348111658456486,4,"list(c(366623.9635, 367445.4132, 377398.3248, 376576.501, 366623.9635, 4991612.4186, 5001591.777, 5000737.569, 4990758.791, 4991612.4186))"
126,10kmE471N234,-43.16707109447494,-51.44036293029785,4.190697674418605,5,"list(c(367601.336, 368412.3139, 378360.5753, 377549.1548, 367601.336, 4880953.7893, 4890939.0931, 4890089.9067, 4880105.1917, 4880953.7893))"
127,10kmE471N235,-36.89750209592524,-38.77290916442871,3.291064740502943,4,"list(c(368412.3139, 369224.2858, 379172.9839, 378360.5753, 368412.3139, 4890939.0931, 4900923.7713, 4900073.9985, 4890089.9067, 4890939.0931))"
128,10kmE471N236,-54.72662299151708,-52.99518013000488,4.1664,4,"list(c(369224.2858, 370037.2503, 379986.3792, 379172.9839, 369224.2858, 4900923.7713, 4910907.8304, 4910057.4735, 4900073.9985, 4900923.7713))"
129,10kmE471N237,-63.92880960418609,-71.49889755249023,3.920097839380351,4,"list(c(370037.2503, 370851.2056, 380800.7594, 379986.3792, 370037.2503, 4910907.8304, 4920891.2768, 4920040.3383, 4910057.4735, 4910907.8304))"
130,10kmE471N238,-29.48917003641679,-20.419167518615723,3.378898473788985,4,"list(c(370851.2056, 371666.1502, 381616.1229, 380800.7594, 370851.2056, 4920891.2768, 4930874.1171, 4930022.5993, 4920040.3383, 4920891.2768))"
131,10kmE471N239,-24.021658581465996,-16.13911533355713,2.496335078534031,2,"list(c(371666.1502, 372482.0824, 382432.4682, 381616.1229, 371666.1502, 4930874.1171, 4940856.3576, 4940004.263, 4930022.5993, 4930874.1171))"
132,10kmE471N240,19.70258157010155,13.88243293762207,3.546803652968037,4,"list(c(372482.0824, 373299.0006, 383249.7935, 382432.4682, 372482.0824, 4940856.3576, 4950838.0049, 4949985.3359, 4940004.263, 4940856.3576))"
133,10kmE471N241,174.972471587483,155.25350952148437,1,1,"list(c(373299.0006, 374116.9032, 384068.0974, 383249.7935, 373299.0006, 4950838.0049, 4960819.0654, 4959965.8245, 4949985.3359, 4950838.0049))"
